symbol,side,tms,is_new,rule_take,reason,move15m,ok_move,ok_break,ok_vol,break_level,taken,entry_px,exit_px,entry_time,exit_time,exit_reason,pnl_r,risk,stop_px_initial
ASTERUSDT,SHORT,1760019859569,,False,no_15m_bar,,,,,,,,,,,,,,
COAIUSDT,LONG,1760010412560,False,False,no_trigger,-0.0042619306313063255,False,False,False,,,,,,,,,,
COAIUSDT,LONG,1759989612744,False,False,no_trigger,0.0008211251176183021,False,False,False,,,,,,,,,,
CAKEUSDT,SHORT,1759976505188,False,False,no_trigger,-0.009129195773333673,False,True,False,,,,,,,,,,
BNBUSDT,LONG,1759976422617,False,False,no_trigger,-0.013749094440248407,False,False,True,,,,,,,,,,
ASTERUSDT,SHORT,1759975926905,,False,no_15m_bar,,,,,,,,,,,,,,
ETHUSDT,LONG,1759935680314,,False,no_15m_bar,,,,,,,,,,,,,,
ETHUSDT,LONG,1759935680314,,False,no_15m_bar,,,,,,,,,,,,,,
THEUSDT,LONG,1759934125151,False,False,no_trigger,0.042387543252595174,False,True,True,,,,,,,,,,
4USDT,LONG,1759932435521,True,False,no_trigger,0.08133020779530369,True,False,False,,,,,,,,,,
4USDT,LONG,1759929226179,True,False,no_trigger,-0.0005136282701001198,False,False,False,,,,,,,,,,
4USDT,LONG,1759925131780,True,False,no_trigger,0.21945971790580932,True,False,False,,,,,,,,,,
1000PEPEUSDT,SHORT,1759895446652,False,False,no_trigger,-0.0006101934420263607,False,False,False,,,,,,,,,,
FARTCOINUSDT,SHORT,1759895440171,False,False,no_trigger,0.00015915963711600985,False,False,False,,,,,,,,,,
FORMUSDT,LONG,1759888720503,False,False,no_confirm,0.06826691628777738,,,,1.5,,,,,,,,,
FORMUSDT,LONG,1759872801767,False,False,no_trigger,0.024348234557269165,False,False,False,,,,,,,,,,
FORMUSDT,LONG,1759872801767,False,False,no_trigger,0.024348234557269165,False,False,False,,,,,,,,,,
AIXBTUSDT,SHORT,1759853922462,False,False,no_trigger,-0.003756170852114221,False,True,False,,,,,,,,,,
VIRTUALUSDT,LONG,1759853916240,False,False,no_trigger,-0.0007370554634235415,False,False,False,,,,,,,,,,
2ZUSDT,SHORT,1759852276131,True,False,no_trigger,-0.0024937655860349122,False,False,False,,,,,,,,,,
XPLUSDT,LONG,1759851513542,,False,no_15m_bar,,,,,,,,,,,,,,
XPLUSDT,LONG,1759851513542,,False,no_15m_bar,,,,,,,,,,,,,,
DOGEUSDT,LONG,1759824518540,False,False,no_trigger,-0.007146424866484913,False,False,False,,,,,,,,,,
